n_run;individual_gains;defeated_enemies
1;[-312.5999999999997, -242.0, -305.5999999999997, -176.39999999999986, -345.39999999999964];[1, 2, 2, 2, 1]
10;[-416.9999999999998, -332.39999999999964, -430.19999999999976, -499.9999999999998, -297.79999999999956];[1, 2, 1, 1, 2]
2;[-372.7999999999998, -412.3999999999997, -300.9999999999995, -337.19999999999976, -257.5999999999994];[1, 1, 2, 1, 2]
3;[-278.1999999999995, -380.99999999999943, -365.59999999999957, -426.39999999999975, -335.99999999999966];[3, 2, 2, 1, 2]
4;[-186.59999999999954, -140.39999999999924, -155.99999999999926, -218.1999999999995, -171.59999999999957];[3, 3, 4, 2, 3]
5;[10.400000000001057, -201.59999999999923, -76.79999999999916, 39.60000000000079, -17.799999999999045];[5, 3, 3, 4, 4]
6;[-356.1999999999998, -357.79999999999967, -307.99999999999983, -298.5999999999998, -169.59999999999985];[1, 1, 1, 1, 2]
7;[-248.9999999999994, -283.9999999999998, -253.99999999999955, -258.3999999999994, -235.59999999999962];[2, 1, 2, 2, 2]
8;[-174.59999999999977, -314.39999999999986, -273.9999999999998, -117.99999999999983, -323.39999999999975];[2, 1, 1, 2, 1]
9;[-384.9999999999999, -396.79999999999984, -337.79999999999995, -341.9999999999999, -311.9999999999999];[1, 1, 1, 1, 1]
